Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
elite-werkzeugbidon-byasi-600-cm3-dunkelgrau,Elite Werkzeugbidon Byasi 600 cm3 dunkelgrau,,ELITE,Accessories > Bottles,Accessories > Bottles,"accessory, bottle, ELITE, hydration, imported-2025-08-07, imported-ecom, Trinkflaschen, Zubehör",true,Title,Default Title,,,,,,,,17.83221,0.0,shopify,deny,manual,9.90,,true,true,'8020775040751,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/17-83221.jpg?v=1754585357,1,Elite Werkzeugbidon Byasi 600 cm3 dunkelgrau,false,Contenitore porta oggetti Elite Byasi 600 cm3 grigio scuro,,,,,,new,FALSE,ELITE,,,,,,,,,,g,,5.45,active
shimano-men-road-sh-rc9-s-phyre-spd-sl-red-445,Shimano Men Road SH-RC9 S-PHYRE SPD-SL red 44.5,,GODSPEED ebike,General,General,"godspeed-ebike, imported-2025-08-07, imported-ecom, racing, road, shimano",true,Title,Default Title,,,,,,,,83.79088,0.0,shopify,deny,manual,240.00,,true,true,'4550170708719,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/83-79088-se.jpg?v=1754585356,1,Shimano Men Road SH-RC9 S-PHYRE SPD-SL red 44.5,false,Shimano Men Road SH-RC9 S-PHYRE SPD-SL red 44.5,,,,,,new,FALSE,,,,,,,,,,,g,,172.80,active
selle-royal-respiro-soft-black-unisex-279x159mm-athletic,"Selle Royal Respiro Soft black, unisex, 279x159mm, athletic",,Selle Royal,Parts > Saddles,Parts > Saddles,"accessory, imported-2025-08-07, imported-ecom, Sattel, Selle Royal, Teile",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,74.90,,true,true,'8021890575098,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/2ccca47d-26db-4a5b-9f2f-2c231e59c878.webp?v=1754585354,1,"Selle Royal Respiro Soft black, unisex, 279x159mm, athletic",false,"Selle Royal Respiro Soft black, unisex, 279x159mm, athletic",,,,,,new,FALSE,Selle Royal,,,,,,,,,,g,,35.43,active
cuscino-multicharger,Cuscino Multicharger,,RIESE & MÜLLER,Accessories > Child Seats,Accessories > Child Seats,"accessory, baby-seat, child-seat, family, imported-2025-08-07, imported-ecom, Kindersitz, RIESE & MÜLLER, Zubehör",true,Title,Default Title,,,,,,,,VBK0304,0.0,shopify,deny,manual,45.00,,true,true,,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/vbk0304-34.jpg?v=1754585353,1,Cuscino Multicharger,false,Cuscino Multicharger,,,,,,new,FALSE,RIESE & MÜLLER,,,,,,,,,,g,,25.87,active
shimano-xt-di2-upgrade-kit-rd-m8250-sgssw-m8250-irbt-dn320ec-dn100sm-cn910-12-box,"Shimano XT Di2 Upgrade Kit, RD-M8250- SGS/SW-M8250-IR/BT-DN320/EC-DN100/SM-CN910-12 Box",,SHIMANO,Parts > Gears and Transmission,Parts > Gears and Transmission,"accessory, Getriebe und Übersetzung, imported-2025-08-07, imported-ecom, SHIMANO, Teile",true,Title,Default Title,,,,,,,,72.89761,0.0,shopify,deny,manual,730.00,,true,true,'4550170928292,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/7289761-gruppenuebersicht.jpg?v=1754585353,1,"Shimano XT Di2 Upgrade Kit, RD-M8250- SGS/SW-M8250-IR/BT-DN320/EC-DN100/SM-CN910-12 Box",false,"Shimano XT Di2 Upgrade Kit, RD-M8250- SGS/SW-M8250-IR/BT-DN320/EC-DN100/SM-CN910-12 Box",,,,,,new,FALSE,SHIMANO,,,,,,,,,,g,,374.00,active
bottiglia-di-plastica-monkeylink-di-ricambio-monkey-bottle-twist-da-450-ml-senza-supporto,Bottiglia di plastica MonkeyLink di ricambio Monkey Bottle Twist da 450 ml senza supporto,,MonkeyLink,Accessories > Bottles,Accessories > Bottles,"accessory, bottle, hydration, imported-2025-08-07, imported-ecom, MonkeyLink, Trinkflaschen, Zubehör",true,Title,Default Title,,,,,,,,17.82085,0.0,shopify,deny,manual,16.90,,true,true,'4002556992538,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/17-82085-01.jpg?v=1754585352,1,Bottiglia di plastica MonkeyLink di ricambio Monkey Bottle Twist da 450 ml senza supporto,false,Bottiglia di plastica MonkeyLink di ricambio Monkey Bottle Twist da 450 ml senza supporto,,,,,80243,new,FALSE,MonkeyLink,,,,,,,,,,g,,9.50,active
shimano-cassette-xt-cs-m8200-12-vitesses-10-51-dents-micro-spline,Shimano Cassette XT CS-M8200 12-vitesses 10-51 dents Micro Spline,,GODSPEED ebike,Parts > Gears and Transmission,Parts > Gears and Transmission,"accessory, Getriebe und Übersetzung, godspeed-ebike, imported-2025-08-07, imported-ecom, shimano, Teile",true,Title,Default Title,,,,,,,,67.88541,0.0,shopify,deny,manual,192.00,,true,true,'192790305479,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/6788541-fr.png?v=1754585351,1,Shimano Cassette XT CS-M8200 12-vitesses 10-51 dents Micro Spline,false,Shimano Cassette XT CS-M8200 12-vitesses 10-51 dents Micro Spline,,,,,,new,FALSE,,,,,,,,,,,g,,102.00,active
riesemueller-protezione-raggi-multicharger-my2020,RIESE&MÜLLER - protezione raggi multicharger MY2020,,RIESE & MÜLLER,Parts > Wheels,Parts > Wheels,"accessory, imported-2025-08-07, imported-ecom, RIESE & MÜLLER, Räder, Teile",true,Title,Default Title,,,,,,,,VBK0269,0.0,shopify,deny,manual,45.00,,true,true,'2100000067950,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/vbk0269-13.jpg?v=1754585350,1,RIESE&MÜLLER - protezione raggi multicharger MY2020,false,RIESE&MÜLLER - protezione raggi multicharger MY2020,,,,,,new,FALSE,RIESE & MÜLLER,,,,,,,,,,g,,36.98,active
riese-muller-copertura-bambini-packster-40-a-partire-da-my2019,Riese & Muller - Copertura bambini Packster 40 a partire da MY2019,,RIESE & MÜLLER,Accessories > Rain Protection,Accessories > Rain Protection,"accessory, imported-2025-08-07, imported-ecom, Regenschutz, RIESE & MÜLLER, Zubehör",true,Title,Default Title,,,,,,,,VBK0265,0.0,shopify,deny,manual,169.00,270.00,true,true,,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/vbk0265-31.jpg?v=1754585349,1,Riese & Muller - Copertura bambini Packster 40 a partire da MY2019,false,Riese & Muller - Copertura bambini Packster 40 a partire da MY2019,,,,,VBK0265,new,FALSE,RIESE & MÜLLER,,,,,,,,,,g,,155.70,active
sattel-fuer-gsd-schwarz-grau,"Sattel für GSD, Schwarz / Grau",,Tern,Parts > Saddles,Parts > Saddles,"accessory, imported-2025-08-07, imported-ecom, Sattel, Teile, Tern",true,Title,Default Title,,,,,,,,H9405S,0.0,shopify,deny,manual,34.90,,true,true,'2100000215890,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/h9405s.jpg?v=1754585348,1,"Sattel für GSD, Schwarz / Grau",false,Sella per GSD Nera,,,,,,new,FALSE,Tern,,,,,,,,,,g,,19.50,active
newmen-tubo-road-700c-av-nm-am,NEWMEN Tubo-ROAD-700C-AV-NM AM,,NEWMEN,Parts > Wheels,Parts > Wheels,"accessory, imported-2025-08-07, imported-ecom, NEWMEN, racing, road, Räder, Teile",true,Title,Default Title,,,,,,,,'90978,0.0,shopify,deny,manual,34.90,,true,true,'4054571192097,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/90978-f1-00.png?v=1754585348,1,NEWMEN Tubo-ROAD-700C-AV-NM AM,false,NEWMEN Tubo-ROAD-700C-AV-NM AM,,,,,,new,FALSE,NEWMEN,,,,,,,,,,g,,18.38,active
acid-grips-disrupt-black-305mm,ACID Grips DISRUPT Black 30.5mm,,ACID,Parts > Grips,Parts > Grips,"accessory, ACID, Griffe, imported-2025-08-07, imported-ecom, Teile",true,Title,Default Title,,,,,,,,'11581,0.0,shopify,deny,manual,26.90,,true,true,'4054571190611,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/11581-d-00.jpg?v=1754585346,1,ACID Grips DISRUPT Black 30.5mm,false,ACID Grips DISRUPT Black 30.5mm,,,,,,new,FALSE,ACID,,,,,,,,,,g,,8.96,active
acid-pedals-flat-a2-ib-black,ACID Pedals FLAT A2-IB Black,,ACID,Parts > Pedals,Parts > Pedals,"accessory, ACID, imported-2025-08-07, imported-ecom, Pedale, Teile",true,Title,Default Title,,,,,,,,'93254,0.0,shopify,deny,manual,74.90,,true,true,'4054571161123,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/93254-1.jpg?v=1754585346,1,ACID Pedals FLAT A2-IB Black,false,ACID Pedals FLAT A2-IB Black,,,,,,new,FALSE,ACID,,,,,,,,,,g,,29.10,active
sigma-compteur-rox-20-endurance-gps,Sigma Compteur ROX 2.0 Endurance GPS,,Sigma,Accessories,Accessories,"accessory, imported-2025-08-07, imported-ecom, Sigma, Zubehör",true,Title,Default Title,,,,,,,,20.93279,0.0,shopify,deny,manual,99.00,,true,true,'4016224010547,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/20-93279-fr.jpg?v=1754585344,1,Sigma Compteur ROX 2.0 Endurance GPS,false,Sigma Compteur ROX 2.0 Endurance GPS,,,,,20.93279,new,FALSE,Sigma,,,,,,,,,,g,,64.00,active
schwalbe-big-betty-275x260-supertrail-addix-soft-tl-easy-black,Schwalbe Big Betty 27.5x2.60 SuperTrail Addix Soft TL-Easy black,,SCHWALBE,Parts > Wheels,Parts > Wheels,"accessory, imported-2025-08-07, imported-ecom, Räder, SCHWALBE, Teile",true,Title,Default Title,,,,,,,,24.80153,0.0,shopify,deny,manual,77.00,,true,true,'4026495878258,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/24-80150-001.jpg?v=1754585343,1,Schwalbe Big Betty 27.5x2.60 SuperTrail Addix Soft TL-Easy black,false,Schwalbe Big Betty 27.5x2.60 SuperTrail Addix Soft TL-Easy black,,,,,,new,FALSE,SCHWALBE,,,,,,,,,,g,,44.15,active
intuvia-display-bui255-nero,Intuvia Display BUI255 Nero,,Bosch,Parts > Bosch,Parts > Bosch,"accessory, Bosch, e-bike, electric, imported-2025-08-07, imported-ecom, Teile",true,Title,Default Title,,,,,,,,56.59526,0.0,shopify,deny,manual,122.00,,true,true,'4047025220293,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/schermata-2019-04-19-alle-172711.png?v=1754585342,1,Intuvia Display BUI255 Nero,false,Intuvia Display BUI255 Nero,,,,,56.59526,new,FALSE,Bosch,,,,,,,,,,g,,77.00,active
mudshield-estensione-parafango,Mudshield - estensione parafango,,Tern,Accessories,Accessories,"accessory, imported-2025-08-07, imported-ecom, Tern, Zubehör",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.90,,true,true,,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/tn-mudshield-qhl-v2.webp?v=1754585342,1,Mudshield - estensione parafango,false,Mudshield - estensione parafango,,,,,,new,FALSE,Tern,,,,,,,,,,g,,5.44,active
acid-bike-drivetrain-cleaner-300ml,ACID Bike Drivetrain Cleaner 300ml,,ACID,Accessories > Tools,Accessories > Tools,"ACID, imported-2025-08-07, imported-ecom, maintenance, repair, tool, Werkstatt / Werkzeuge, workshop, Zubehör",true,Title,Default Title,,,,,,,,'93426,0.0,shopify,deny,manual,14.90,,true,true,'4054571164018,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/93426-0.png?v=1754585340,1,ACID Bike Drivetrain Cleaner 300ml,false,ACID Bike Drivetrain Cleaner 300ml,,,,,,new,FALSE,ACID,,,,,,,,,,g,,5.39,active
cube-drop-out-adapter-sic-20,CUBE Drop Out Adapter SIC 2.0,,ACID,Accessories > Luggage Racks,Accessories > Luggage Racks,"ACID, carrier, Gepäckträger, imported-2025-08-07, imported-ecom, luggage, rack, Zubehör",true,Title,Default Title,,,,,,,,'98304,0.0,shopify,deny,manual,5.90,,true,true,'4054571235152,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/98304-f1-00.png?v=1754585338,1,CUBE Drop Out Adapter SIC 2.0,false,CUBE Drop Out Adapter SIC 2.0,,,,,,new,FALSE,ACID,,,,,,,,,,g,,2.45,active
kit-shimano-per-spurgo-tl-btbr-mtbroad-scatola-spurgo-unidirezionale,Kit Shimano per spurgo TL-BTBR MTB/Road scatola spurgo unidirezionale,,SHIMANO,Accessories > Tools,Accessories > Tools,"imported-2025-08-07, imported-ecom, maintenance, racing, repair, road, SHIMANO, tool, Werkstatt / Werkzeuge, workshop, Zubehör",true,Title,Default Title,,,,,,,,Y13098630,0.0,shopify,deny,manual,55.00,,true,true,'192790904801,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/90-80985-009.jpg?v=1754585338,1,Kit Shimano per spurgo TL-BTBR MTB/Road scatola spurgo unidirezionale,false,Kit Shimano per spurgo TL-BTBR MTB/Road scatola spurgo unidirezionale,,,,,90.80985,new,FALSE,SHIMANO,,,,,,,,,,g,,27.85,active
movimento-centrale-quadrato-shimano-bb-un300-bsa-73-mm-1225-mm-d-nl,"Movimento centrale quadrato Shimano BB-UN300 BSA 73 mm / 122,5 mm (D-NL)",,SHIMANO,Parts > Gears and Transmission,Parts > Gears and Transmission,"accessory, Getriebe und Übersetzung, imported-2025-08-07, imported-ecom, SHIMANO, Teile",true,Title,Default Title,,,,,,,,62.78676,0.0,shopify,deny,manual,18.90,,true,true,'192790619309,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/62-78663-001.jpg?v=1754585337,1,"Movimento centrale quadrato Shimano BB-UN300 BSA 73 mm / 122,5 mm (D-NL)",false,"Movimento centrale quadrato Shimano BB-UN300 BSA 73 mm / 122,5 mm (D-NL)",,,,,62.78676,new,FALSE,SHIMANO,,,,,,,,,,g,,8.50,active
chester-grip-lock-on-31mm-blackblue,Chester Grip Lock-on 31mm black/blue,,Race Face,Parts > Grips,Parts > Grips,"accessory, Griffe, imported-2025-08-07, imported-ecom, Race Face, Teile",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,29.90,,true,true,'821973472539,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/race-face-chester-grip-lock-on-31mm-black-blue-one.jpg?v=1754585335,1,Chester Grip Lock-on 31mm black/blue,false,Chester Grip Lock-on 31mm black/blue,,,,,,new,FALSE,Race Face,,,,,,,,,,g,,15.00,active
ride-pedal-blue,Ride Pedal Blue,,Race Face,Parts > Pedals,Parts > Pedals,"accessory, imported-2025-08-07, imported-ecom, Pedale, Race Face, Teile",true,Title,Default Title,,,,,,,,PD20RIDBLU,0.0,shopify,deny,manual,49.90,,true,true,'821973353128,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/race-face-ride-pedal-blue-main-1920x1920.jpg?v=1754585334,1,Ride Pedal Blue,false,Ride Pedal Blue,,,,,,new,FALSE,Race Face,,,,,,,,,,g,,25.00,active
dr-gear-cbl-out-s-typ-pre17,DR GEAR CBL +OUT S TYP PRE17,,Brompton,Parts > Gears and Transmission,Parts > Gears and Transmission,"accessory, Brompton, Getriebe und Übersetzung, imported-2025-08-07, imported-ecom, Teile",true,Title,Default Title,,,,,,,,Q101176,0.0,shopify,deny,manual,18.00,,true,true,'5053099012039,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/thumbnailq101176.jpg?v=1754585332,1,DR GEAR CBL +OUT S TYP PRE17,false,DR GEAR CBL +OUT S TYP PRE17,,,,,,new,FALSE,Brompton,,,,,,,,,,g,,8.81,active
acid-grips-kids-160-with-bumper,ACID Grips KIDS 16.0 with Bumper,,ACID,Parts > Grips,Parts > Grips,"accessory, ACID, Griffe, imported-2025-08-07, imported-ecom, Teile",true,Title,Default Title,,,,,,,,'13123,0.0,shopify,deny,manual,10.90,,true,true,'4054571186461,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/13123-d-00.jpg?v=1754585331,1,ACID Grips KIDS 16.0 with Bumper,false,ACID Grips KIDS 16.0 with Bumper,,,,,,new,FALSE,ACID,,,,,,,,,,g,,3.59,active
rollers-fitt-le-ver-set-black,ROLLERS + FITT L/E VER SET BLACK,,Brompton,Accessories > Fenders,Accessories > Fenders,"Brompton, fender, imported-2025-08-07, imported-ecom, mudguard, protection, Schutzbleche, Zubehör",true,Title,Default Title,,,,,,,,Q100511,0.0,shopify,deny,manual,13.00,,true,true,'5053099001491,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/thumbnail9001491.jpg?v=1754585329,1,ROLLERS + FITT L/E VER SET BLACK,false,ROLLERS + FITT L/E VER SET BLACK,,,,,,new,FALSE,Brompton,,,,,,,,,,g,,6.95,active
sprkt-set-332-3spln-14t-3spd,SPRKT Set 3/32 3Spln 14T 3Spd,,Brompton,Parts > Gears and Transmission,Parts > Gears and Transmission,"accessory, Brompton, Getriebe und Übersetzung, imported-2025-08-07, imported-ecom, Teile",true,Title,Default Title,,,,,,,,Q101617,0.0,shopify,deny,manual,19.00,,true,true,'5053099024186,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/thumbnailq101617.jpg?v=1754585328,1,SPRKT Set 3/32 3Spln 14T 3Spd,false,SPRKT Set 3/32 3Spln 14T 3Spd,,,,,,new,FALSE,Brompton,,,,,,,,,,g,,9.30,active
schwalbe-pneumatico-land-cruiser-26x175-rigide-black,Schwalbe Pneumatico Land Cruiser 26x1.75 rigide black,,SCHWALBE,Parts > Wheels,Parts > Wheels,"accessory, imported-2025-08-07, imported-ecom, Räder, SCHWALBE, Teile",true,Title,Default Title,,,,,,,,24.65667,0.0,shopify,deny,manual,22.90,,true,true,'4026495774840,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/24-65667_5e7a4cf0-70d6-4757-acfb-4e5569ea08dd.jpg?v=1754585327,1,Schwalbe Pneumatico Land Cruiser 26x1.75 rigide black,false,Schwalbe Pneumatico Land Cruiser 26x1.75 rigide black,,,,,,new,FALSE,SCHWALBE,,,,,,,,,,g,,10.45,active
pedivella-shimano-fc-e5010-170-mm-senza-paracatena-bulk-comp,Pedivella Shimano FC-E5010 170 mm senza paracatena bulk comp.,,SHIMANO,Parts > Gears and Transmission,Parts > Gears and Transmission,"accessory, Getriebe und Übersetzung, imported-2025-08-07, imported-ecom, SHIMANO, Teile",true,Title,Default Title,,,,,,,,75.72713,0.0,shopify,deny,manual,24.80,,true,true,'7630032530713,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/75-72713.jpg?v=1754585325,1,Pedivella Shimano FC-E5010 170 mm senza paracatena bulk comp.,false,Pedivella Shimano FC-E5010 170 mm senza paracatena bulk comp.,,,,,,new,FALSE,SHIMANO,,,,,,,,,,g,,11.45,active
stromer-tmm-sensor-spl042p218-kit,STROMER - TMM Sensor SPL042/P218 KIT,,STROMER,Parts > Gears and Transmission,Parts > Gears and Transmission,"accessory, Getriebe und Übersetzung, imported-2025-08-07, imported-ecom, STROMER, swiss, swiss-made, Teile",true,Title,Default Title,,,,,,,,'405159,0.0,shopify,deny,manual,191.00,,true,true,,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/405159-b18bef1b-a1b7-4ddf-b59f-6025ff78358d-1800x1.webp?v=1754585325,1,STROMER - TMM Sensor SPL042/P218 KIT,false,STROMER - TMM Sensor SPL042/P218 KIT,,,,,,new,FALSE,STROMER,,,,,,,,,,g,,115.08,active
